Date,Open,High,Low,Close,Adj Close,Volume
2019-01-14,18.057142,18.785713,18.042856,18.628571,14.694098,12520214
2019-01-21,18.571428,19.757141,18.328571,19.271427,15.201178,44205322
2019-01-28,19.328571,20.299999,19.071428,19.857141,15.663186,44015279
2019-02-04,19.757141,20.185715,19.242857,20.128571,15.877288,25569201
2019-02-11,20.214285,20.914286,19.628571,20.842857,16.440714,47171915
2019-02-18,20.742857,21.114285,19.857141,20.842857,16.440714,31470488
2019-02-25,20.799999,21.100000,20.071428,20.371428,16.068851,28464926
2019-03-04,20.314285,21.042856,20.314285,20.442858,16.125196,21406098
2019-03-11,20.457142,21.642857,20.257141,21.328571,16.823841,20805687
2019-03-18,21.328571,22.271427,20.900000,21.042856,16.598471,19308492
2019-03-25,21.200001,22.128571,17.628571,17.814285,14.051795,60749220
2019-04-01,17.857141,19.614285,17.842857,19.242857,17.055073,32846933
2019-04-08,19.228571,19.357141,18.014284,18.514284,16.409332,19635497
2019-04-15,18.528570,19.071428,18.071428,18.342857,16.257395,36504839
2019-04-22,18.214285,18.257141,17.385714,18.100000,16.042150,30080827
2019-04-29,18.114285,18.142857,17.557142,17.700001,15.687628,20107360
2019-05-06,17.571428,17.657143,16.257141,16.457142,14.586074,38996468
2019-05-13,16.471428,17.600000,16.285713,17.171429,15.219151,31401524
2019-05-20,17.200001,17.357141,16.628571,16.942858,15.016566,23068773
2019-05-27,16.928572,18.671429,16.757141,18.628571,16.510626,37838080
2019-06-03,18.714285,18.714285,17.757141,18.114285,16.054810,10919069
2019-06-10,18.142857,18.357141,16.728571,16.857141,14.940597,31224564
2019-06-17,16.742857,17.285713,16.385714,16.400000,14.535428,42424998
2019-06-24,16.571428,16.642857,16.171429,16.400000,14.535428,31554327
2019-07-01,16.628571,16.971428,16.328571,16.371428,14.510104,41738032
2019-07-08,16.200001,17.757141,15.914285,17.700001,15.687628,63563661
2019-07-15,17.700001,18.799999,17.671429,18.728571,16.599257,36258607
2019-07-22,18.785713,19.400000,18.342857,19.185715,17.004427,33571804
2019-07-29,19.271427,20.500000,19.085714,19.528570,17.308302,46001158
2019-08-05,19.428572,19.971428,19.114285,19.371428,17.169024,35463778
2019-08-12,19.371428,19.371428,17.900000,17.971428,15.928196,19313273
2019-08-19,18.142857,19.500000,17.971428,18.914286,16.763857,51448117
2019-08-26,18.714285,19.371428,17.857141,18.028570,15.978842,46045860
2019-09-02,18.014284,19.242857,18.014284,18.371428,16.282719,38699486
2019-09-09,18.542856,19.757141,18.485714,19.585714,17.358950,53850951
2019-09-16,19.428572,19.914286,18.828571,19.371428,17.169024,42420014
2019-09-23,19.414286,20.357141,19.185715,20.342857,18.030010,59449173
2019-09-30,20.342857,20.871428,19.485714,19.928572,17.662825,54432161
2019-10-07,19.957142,20.428572,17.985714,18.142857,16.080133,74757004
2019-10-14,18.000000,18.057142,16.771427,17.757141,15.738272,87935456
2019-10-21,17.799999,18.114285,17.157143,18.057142,16.004164,63550095
2019-10-28,18.085714,18.114285,17.571428,18.014284,15.966179,24361029
2019-11-04,18.157143,18.485714,17.742857,18.242857,16.168764,45797682
2019-11-11,18.185715,18.400000,17.528570,17.614285,15.611657,44334276
2019-11-18,17.657143,18.442858,17.400000,17.957142,15.915533,83156850
2019-11-25,18.071428,18.128571,17.371428,17.642857,15.636980,65004814
2019-12-02,17.757141,17.799999,17.171429,17.428572,15.447060,69898283
2019-12-09,17.428572,17.685715,17.242857,17.299999,15.333103,79419081
2019-12-16,17.328571,17.900000,17.271427,17.742857,15.725611,94157084
2019-12-23,17.814285,18.428572,17.757141,18.242857,16.168764,49582449
2019-12-30,18.257141,18.414286,17.671429,17.957142,15.915533,39849614
2020-01-06,17.700001,17.957142,17.142857,17.900000,15.864888,89057976
2020-01-13,17.985714,18.114285,17.257141,17.299999,15.333103,92103081
2020-01-20,17.357141,17.542856,17.057142,17.085714,15.143182,72267384
2020-01-27,16.942858,16.957142,16.014284,16.114285,14.282198,120568035
2020-02-03,16.071428,16.485714,15.714285,16.157143,14.320183,95936225
2020-02-10,16.085714,16.457142,15.714285,15.714285,13.927674,139539106
2020-02-17,15.814285,16.128571,15.614285,15.942857,14.130260,141849638
2020-02-24,15.657142,15.971428,13.428571,14.457142,12.813460,100819873
2020-03-02,14.714285,14.828571,13.550000,13.571428,12.028447,54593294
2020-03-09,12.842857,13.642857,11.935714,12.228571,10.838264,71567608
2020-03-16,11.857142,11.857142,9.500000,9.814285,8.698466,86951053
2020-03-23,9.571428,11.500000,9.364285,10.921428,9.679734,89461960
2020-03-30,10.857142,12.400000,10.557142,12.128571,10.749633,150274362
2020-04-06,12.164285,13.735714,12.057142,13.300000,11.787878,150024518
2020-04-13,13.271428,13.271428,11.921428,12.478571,11.059840,94462725
2020-04-20,12.492857,12.550000,11.957142,12.250000,10.857256,71664334
2020-04-27,12.357142,13.157142,12.207142,12.914285,11.446016,85450659
2020-05-04,12.571428,12.642857,11.971428,12.142857,10.762294,80942204
2020-05-11,12.157142,12.228571,11.700000,11.700000,10.369787,51197482
2020-05-18,11.771428,11.807142,10.978571,11.464285,10.160872,128183398
2020-05-25,11.464285,12.400000,11.464285,12.235714,10.844595,141712060
2020-06-01,12.307142,13.071428,12.292857,12.757142,11.306740,177739114
2020-06-08,12.857142,13.050000,12.214285,12.492857,11.072501,123494329
2020-06-15,12.364285,12.721428,12.285714,12.657142,11.218108,127172241
2020-06-22,12.721428,13.085714,12.557142,12.764285,11.313070,182768068
2020-06-29,12.728571,12.942857,12.371428,12.400000,10.990202,142920659
2020-07-06,12.535714,12.807142,12.071428,12.242857,10.850924,220000571
2020-07-13,12.285714,12.557142,12.271428,12.407142,10.996531,94718645
2020-07-20,12.400000,12.714285,12.300000,12.464285,11.047178,147243383
2020-07-27,12.507142,12.664285,11.642857,11.792857,10.452087,99451898
2020-08-03,11.792857,11.892857,10.457142,11.150000,9.882318,139757765
2020-08-10,11.085714,11.500000,10.814285,11.192857,9.920303,316545215
2020-08-17,11.271428,13.671428,11.214285,11.857142,10.509064,1025924151
2020-08-24,11.885714,12.314285,11.657142,11.857142,10.509064,354698183
2020-08-31,11.842857,11.842857,11.257142,11.435714,10.135549,154802284
2020-09-07,11.464285,12.200000,11.314285,11.585714,10.268495,318423161
2020-09-14,11.657142,11.785714,11.442857,11.521428,10.211518,135765574
2020-09-21,11.507142,11.557142,11.228571,11.485714,10.179864,117740959
2020-09-28,11.457142,11.507142,11.285714,11.371428,10.078571,109435536
2020-10-05,11.414285,11.935714,11.400000,11.892857,10.540717,251316394
2020-10-12,11.850000,12.285714,11.450000,11.778571,10.439425,420470442
2020-10-19,11.685714,11.685714,11.235714,11.321428,10.034257,118760474
2020-10-26,11.271428,11.271428,10.550000,10.642857,9.432835,92670011
2020-11-02,10.671428,11.235714,10.664285,11.042857,9.787357,126387247
2020-11-09,11.185714,13.071428,11.128571,12.707142,11.262424,531142150
2020-11-16,12.828571,13.035714,12.228571,12.735714,11.287747,324717099
2020-11-23,12.742857,13.685714,12.407142,13.500000,11.965139,360360378
2020-11-30,13.214285,13.664285,12.971428,13.407142,11.882838,305372634
2020-12-07,13.392857,14.514285,13.392857,14.500000,12.851446,366773631
2020-12-14,14.685714,15.800000,14.685714,15.385714,13.636459,287189574
2020-12-21,15.000000,15.500000,14.542857,15.185714,13.459198,180275123
2020-12-28,15.200000,15.800000,15.142857,15.528571,13.763076,125340411
2021-01-04,15.557142,16.271427,15.471428,16.057142,14.231552,205687370
2021-01-11,15.928571,16.114285,15.100000,15.242857,13.509845,159556831
2021-01-18,15.271428,15.885714,14.885714,15.271428,13.535168,161031192
2021-01-25,15.314285,15.342857,13.764285,14.200000,12.585554,145740119
2021-02-01,14.300000,14.728571,14.128571,14.385714,12.750153,107212805
2021-02-08,14.500000,15.228571,14.300000,14.657142,12.990722,184465764
2021-02-15,14.871428,15.342857,14.514285,14.700000,13.028708,180104918
2021-02-22,14.785714,15.128571,14.328571,14.442857,12.800799,210232442
2021-03-01,14.642857,15.585714,14.628571,15.242857,13.509845,205488038
2021-03-08,15.371428,15.714285,15.200000,15.328571,13.585814,174286665
2021-03-15,15.300000,15.428571,14.271428,14.371428,12.737492,116818114
2021-03-22,13.571428,13.950000,11.692857,13.371428,11.851185,208308394
2021-03-29,13.321428,13.464285,12.828571,13.157142,11.661262,138026182
2021-04-05,13.135714,13.300000,12.507142,12.664285,11.224440,72552865
2021-04-12,12.607142,13.035714,12.121428,12.750000,11.300409,103567576
2021-04-19,12.764285,12.885714,11.835714,12.357142,10.952217,76152804
2021-04-26,12.292857,12.685714,12.171428,12.535714,11.110487,111649090
2021-05-03,12.571428,13.807142,12.564285,13.800000,12.231031,216833253
2021-05-10,13.892857,14.114285,13.464285,14.085714,12.484262,100477580
2021-05-17,14.128571,14.842857,14.121428,14.700000,13.028708,159089609
2021-05-24,14.785714,14.800000,13.714285,13.942857,12.357647,167164781
2021-05-31,13.942857,14.842857,13.871428,14.714285,13.041368,187402012
2021-06-07,14.657142,15.071428,14.557142,14.814285,13.129999,144303376
2021-06-14,14.871428,15.014285,14.414285,14.514285,12.864107,151681467
2021-06-21,14.428571,14.514285,14.050000,14.050000,12.452608,111710599
2021-06-28,14.057142,14.107142,13.464285,13.664285,12.110746,117684567
2021-07-05,13.664285,14.050000,13.557142,13.800000,12.231031,77993342
2021-07-12,13.807142,13.821428,13.407142,13.535714,11.996793,59363297
2021-07-19,13.492857,13.492857,13.378571,13.400000,11.876508,4664205
2021-07-26,13.421428,13.492857,13.000000,13.400000,11.876508,100835700
2021-08-02,13.471428,14.078571,13.457142,14.021428,12.427285,149695133
2021-08-09,14.050000,14.371428,13.728571,14.371428,12.737492,231428498
2021-08-16,14.414285,14.800000,14.035714,14.164285,12.553900,185720437
2021-08-23,14.257142,14.471428,14.085714,14.228571,12.610876,122788666
2021-08-30,14.228571,15.042857,14.228571,14.814285,13.129999,158951506
2021-09-06,14.842857,15.057142,14.514285,14.685714,13.016046,128817395
2021-09-13,14.700000,15.785714,14.685714,15.528571,13.763076,232207822
2021-09-20,15.371428,16.057142,15.185714,15.828571,14.028968,198952579
2021-09-27,15.900000,16.514284,15.814285,16.214285,14.370829,212923844
2021-10-04,16.257141,17.671429,16.257141,17.571428,15.573673,261044000
2021-10-11,17.700001,18.442858,17.314285,18.428572,16.333366,224457793
2021-10-18,18.457142,20.042856,18.042856,19.885714,17.624840,240402463
2021-10-25,19.857141,20.357141,19.799999,19.971428,17.700809,137879203
2021-11-01,19.971428,20.928572,19.428572,20.757141,18.397192,188173139
2021-11-08,20.857141,23.200001,20.728571,22.228571,19.701328,232837528
2021-11-15,22.285713,23.028570,21.371428,22.157143,19.638023,236415865
2021-11-22,22.285713,25.571428,20.985714,21.285713,18.865669,255110905
2021-11-29,21.685715,22.771427,21.457142,22.142857,19.625360,156998520
2021-12-06,22.271427,24.771427,22.000000,24.714285,21.904434,187177459
2021-12-13,25.742857,31.542856,25.428572,26.657143,23.626402,281006817
2021-12-20,25.571428,27.700001,19.428572,22.085714,19.574715,237060460
2021-12-27,22.171429,23.400000,21.014284,22.057142,19.549393,140494571
2022-01-03,22.057142,27.100000,21.857141,26.700001,23.664387,213556378
2022-01-10,26.714285,27.785713,25.785713,26.657143,23.626402,157771621
2022-01-17,26.985714,27.557142,24.700001,25.600000,22.689449,158655245
2022-01-24,25.414286,25.414286,23.157143,24.100000,21.359989,146583451
2022-01-31,24.528570,24.799999,23.642857,23.642857,20.954821,99366701
2022-02-07,23.671429,28.242857,23.142857,28.242857,25.031832,235703216
